The Lord of the Rings: The Two Towers,94000000
The Lord of the Rings: The Return of the King,94000000
The Campaign,95000000
Seventh Son,95000000
Hollow Man,95000000
Logan,97000000
Harry Potter en de geheime kamer,100000000
Keizer Kuzco,100000000
Shazam!,100000000
Constantine,100000000
Django Unchained,100000000
Rome,100000000
The Other Guys,100000000
The Wolf of Wall Street,100000000
Dunkirk,100000000
The Expendables 2,100000000
Gravity,100000000
Hercules,100000000
Gangs of New York,100000000
Minority Report,102000000
Cloud Atlas,102000000
Terminator 2: Judgment Day,102000000
Gladiator,103000000
Starship Troopers,105000000
The Great Gatsby,105000000
The Martian,108000000
Real Steel,110000000
The Huntsman: Winter's War,115000000
Elysium,115000000
"Monsters, Inc.",115000000
True Lies,115000000
Léon,115000000
Life of Pi,120000000
Oblivion,120000000
The Wolverine,120000000
A Bug's Life,120000000
Sherlock Holmes: A Game of Shadows,125000000
Band of Brothers,125000000
Harry Potter en de steen der wijzen,125000000
Mission: Impossible II,125000000
Clash of the Titans,125000000
R.I.P.D.,130000000
Puss in Boots,130000000
Watchmen,130000000
Tarzan,130000000
After Earth,130000000
Prometheus,130000000
Kingdom of Heaven,130000000
Harry Potter and the Prisoner of Azkaban,130000000
War of the Worlds,132000000
Rango,135000000
The Adventures of Tintin,135000000
The Revenant,135000000
Captain America: The First Avenger,140000000
Exodus: Gods and Kings,140000000
Iron Man,140000000
Pirates of the Caribbean: The Curse of the Black Pearl,140000000
A Series of Unfortunate Events,140000000
Men in Black II,140000000
Mission: Impossible - Ghost Protocol,145000000
Vaiana,150000000
Blade Runner 2049,150000000
Jurassic World,150000000
Harry Potter and the Order of the Phoenix,150000000
X-Men Origins: Wolverine,150000000
Mission: Impossible III,150000000
Batman Begins,150000000
Wrath of the Titans,150000000
Mission: Impossible - Rogue Nation,150000000
Mad Max: Fury Road,150000000
Casino Royale,150000000
Thor,150000000
The Wolfman,150000000
Harry Potter and the Goblet of Fire,150000000
Alexander,155000000
Godzilla,160000000
Inception,160000000
Interstellar,165000000
Snow White and the Huntsman,170000000
Guardians of the Galaxy,170000000
Dawn of the Planet of the Apes,170000000
Alita: Battle Angel,170000000
Troy,175000000
Ready Player One,175000000
Suicide Squad,175000000
Waterworld,175000000
King Arthur: Legend of the Sword,175000000
Coco,175000000
Edge of Tomorrow,178000000
Fantastic Beasts and Where to Find Them,180000000
Maleficent,180000000
WALL·E,180000000
De Hobbit: Een onverwachte reis,180000000
The Dark Knight,185000000
Brave,185000000
Kong: Skull Island,185000000
World War Z,190000000
Pacific Rim,190000000
Jack the Giant Slayer,195000000
Skyfall,200000000
Fantastic Beasts: The Crimes of Grindelwald,200000000
Alice in Wonderland,200000000
A Christmas Carol,200000000
Iron Man 2,200000000
2012,200000000
Monsters Universiteit,200000000
Iron Man Three,200000000
King Kong,207000000
The Lone Ranger,215000000
The Avengers,220000000
Men in Black 3,225000000
Pirates of the Caribbean: Dead Man's Chest,225000000
De Hobbit: de Woestenij van Smaug,225000000
Pirates of the Caribbean: Salazar's Revenge,230000000
Avatar,237000000
The Dark Knight Rises,250000000
Pirates of the Caribbean: On Stranger Tides,250000000
De Hobbit: De Slag van Vijf Legers,250000000
John Carter,250000000
Pirates of the Caribbean: At World's End,300000000
Gwoemul,12215500000
